,h_id,t_id,entity_sim_score,norm_entity_sim_score
180,180,180,2374.9028,0.6403892
181,181,181,1991.4822,0.5694124
182,182,182,694.4332,0.3293095
183,183,183,3147.2063,0.7833539
184,184,184,1978.0374,0.56692356
185,185,185,2540.5754,0.67105764
186,186,186,2748.2917,0.709509
187,187,187,246.59074,0.24640723
188,188,188,2733.3562,0.7067442
189,189,189,789.6556,0.34693655
190,190,190,1549.126,0.48752573
191,191,191,2458.229,0.6558141
192,192,192,1835.6815,0.5405714
193,193,193,93.58957,0.21808447
194,194,194,3028.6829,0.76141346
195,195,195,2804.165,0.719852
196,196,196,-500.79575,0.10805497
197,197,197,2566.2212,0.67580503
198,198,198,172.12175,0.23262192
199,199,199,2522.0234,0.6676234
200,200,200,41.9166,0.20851904
201,201,201,1968.5845,0.5651737
202,202,202,508.4477,0.29488084
203,203,203,3694.643,0.8846926
204,204,204,2479.413,0.65973556
205,205,205,39.80537,0.20812823
206,206,206,97.66098,0.21883816
207,207,207,148.524,0.22825365
208,208,208,2876.4377,0.7332307
209,209,209,2354.2683,0.63656944
210,210,210,-25.785976,0.19598629
211,211,211,2554.3596,0.6736093
212,212,212,189.69565,0.23587513
213,213,213,2634.826,0.6885048
214,214,214,704.8689,0.33124128
215,215,215,2697.247,0.7000599
216,216,216,270.8756,0.25090274
217,217,217,2146.7986,0.5981637
218,218,218,-500.18716,0.10816764
219,219,219,3006.0642,0.75722647
220,220,220,61.807034,0.21220104
221,221,221,1479.9548,0.47472113
222,222,222,2278.6318,0.622568
223,223,223,2680.5498,0.696969
224,224,224,-767.1316,0.058752283
225,225,225,2416.9714,0.6481767
226,226,226,24.039421,0.20520972
227,227,227,1371.8188,0.45470357
228,228,228,1650.218,0.50623935
229,229,229,116.354805,0.22229865
230,230,230,2810.87,0.7210932
231,231,231,477.39288,0.28913212
232,232,232,2299.295,0.6263931
233,233,233,279.25012,0.25245297
234,234,234,2337.821,0.63352484
235,235,235,434.413,0.2811759
236,236,236,2355.0474,0.6367137
237,237,237,-103.98057,0.18151131
238,238,238,1805.9832,0.53507376
239,239,239,197.75824,0.23736763
240,240,240,2217.6316,0.611276
241,241,241,92.68819,0.21791762
242,242,242,2844.5393,0.72732586
243,243,243,-320.30624,0.14146625
244,244,244,2706.2593,0.70172817
245,245,245,407.08533,0.27611715
246,246,246,1971.1866,0.56565535
247,247,247,326.10583,0.26112667
248,248,248,2618.5032,0.6854832
249,249,249,557.8882,0.30403298
250,250,250,1577.1296,0.4927096
251,251,251,2323.244,0.63082635
252,252,252,1499.8966,0.47841263
253,253,253,2388.3284,0.6428745
254,254,254,1443.3578,0.4679465
255,255,255,2645.087,0.69040424
256,256,256,1906.7676,0.5537305
257,257,257,574.9546,0.30719224
258,258,258,2339.6648,0.63386613
259,259,259,-229.44215,0.15828653
260,260,260,1832.366,0.53995764
261,261,261,2414.4233,0.647705
262,262,262,948.46545,0.3763346
263,263,263,3282.0193,0.80830985
264,264,264,3128.9722,0.7799786
265,265,265,777.65265,0.3447146
266,266,266,1106.9365,0.40566993
267,267,267,1861.35,0.545323
268,268,268,2157.8518,0.60020983
269,269,269,2272.2004,0.62137747
270,270,270,2872.6572,0.7325309
271,271,271,914.1426,0.36998093
272,272,272,2887.7573,0.7353261
273,273,273,-353.26144,0.13536575
274,274,274,2557.0388,0.6741053
275,275,275,-830.9932,0.046930555
276,276,276,2533.7622,0.6697964
277,277,277,2570.1418,0.67653084
278,278,278,-999.5543,0.01572741
279,279,279,3072.3071,0.76948905
280,280,280,2356.2307,0.63693273
281,281,281,160.0463,0.23038658
282,282,282,1829.7926,0.5394812
283,283,283,2120.3577,0.5932691
284,284,284,5.816798,0.20183642
285,285,285,2724.0447,0.7050205
286,286,286,-559.19293,0.0972448
287,287,287,2349.0967,0.63561213
288,288,288,-47.31667,0.19200064
289,289,289,3032.1636,0.76205784
290,290,290,2229.1755,0.6134129
291,291,291,-376.50635,0.13106278
292,292,292,2873.5764,0.73270106
293,293,293,398.95688,0.27461246
294,294,294,2600.1912,0.6820934
295,295,295,2105.3237,0.5904861
296,296,296,102.7029,0.21977147
297,297,297,1501.622,0.47873205
298,298,298,2260.908,0.6192871
299,299,299,-35.248745,0.1942346
300,300,300,2327.8723,0.6316832
