,h_id,t_id,entity_sim_score,norm_entity_sim_score
183,183,183,1236.1659,0.25676745
184,184,184,81.477005,0.092865564
185,185,185,1351.2148,0.27309802
186,186,186,1226.0769,0.25533536
187,187,187,2057.518,0.37335396
188,188,188,858.7923,0.20320128
189,189,189,640.38965,0.1722002
190,190,190,458.4334,0.1463725
191,191,191,558.5978,0.16059029
192,192,192,527.32074,0.1561507
193,193,193,601.23016,0.16664174
194,194,194,332.22406,0.12845775
195,195,195,394.3673,0.13727866
196,196,196,652.4576,0.17391318
197,197,197,2527.287,0.44003516
198,198,198,260.93213,0.11833826
199,199,199,1972.1848,0.36124137
200,200,200,238.8735,0.11520716
201,201,201,2486.311,0.43421882
202,202,202,2350.255,0.41490638
203,203,203,370.9941,0.13396096
204,204,204,-151.75992,0.05975884
205,205,205,1816.3175,0.33911687
206,206,206,366.5346,0.13332796
207,207,207,368.40686,0.13359371
208,208,208,644.0267,0.17271645
209,209,209,960.6153,0.21765451
210,210,210,-141.8894,0.061159905
211,211,211,1606.0809,0.30927488
212,212,212,956.25574,0.2170357
213,213,213,562.1224,0.16109058
214,214,214,149.25212,0.10248588
215,215,215,1646.1443,0.31496167
216,216,216,475.2745,0.148763
217,217,217,594.70605,0.16571566
218,218,218,1257.7129,0.25982592
219,219,219,-5.1066127,0.08057548
220,220,220,4583.771,0.731942
221,221,221,-265.6083,0.04359867
222,222,222,346.10886,0.13042864
223,223,223,259.2058,0.118093215
224,224,224,2531.753,0.44066906
225,225,225,1331.0712,0.27023873
226,226,226,980.9382,0.22053924
227,227,227,3551.1006,0.58535993
228,228,228,1288.7006,0.26422447
229,229,229,630.8322,0.17084359
230,230,230,-20.22365,0.07842971
231,231,231,3534.4148,0.58299154
232,232,232,2249.2317,0.4005667
233,233,233,222.01727,0.1128145
234,234,234,499.75964,0.15223853
235,235,235,274.57373,0.1202746
236,236,236,949.3674,0.21605794
237,237,237,883.4338,0.20669903
238,238,238,1923.8438,0.35437962
239,239,239,418.45853,0.14069827
240,240,240,485.198,0.1501716
241,241,241,2961.6716,0.5016937
242,242,242,796.60284,0.19437382
243,243,243,74.43735,0.09186633
244,244,244,1118.3824,0.24004872
245,245,245,1127.2637,0.24130936
246,246,246,559.65063,0.16073973
247,247,247,681.7367,0.1780692
248,248,248,442.8312,0.14415784
249,249,249,314.04953,0.12587799
250,250,250,474.25485,0.14861827
251,251,251,154.25963,0.103196666
252,252,252,351.55447,0.13120161
253,253,253,552.96295,0.15979046
254,254,254,1140.6324,0.24320698
255,255,255,2399.4153,0.42188445
256,256,256,629.66815,0.17067836
257,257,257,1150.3326,0.24458387
258,258,258,2634.5815,0.45526502
259,259,259,1075.1172,0.23390745
260,260,260,2345.1514,0.41418198
261,261,261,1978.8673,0.36218992
262,262,262,649.8179,0.17353849
263,263,263,588.5674,0.16484432
264,264,264,566.2842,0.16168134
265,265,265,608.12524,0.16762045
266,266,266,775.3376,0.19135535
267,267,267,2821.1516,0.48174763
268,268,268,1406.0378,0.28087986
269,269,269,935.5137,0.21409148
270,270,270,407.95566,0.13920745
271,271,271,1438.8054,0.28553104
272,272,272,1258.0442,0.25987294
273,273,273,2622.519,0.4535528
274,274,274,650.51965,0.1736381
275,275,275,671.90594,0.17667378
276,276,276,848.90924,0.20179844
277,277,277,696.7475,0.1801999
278,278,278,435.1525,0.1430679
279,279,279,851.6149,0.20218252
280,280,280,548.5619,0.15916575
281,281,281,385.5164,0.13602231
282,282,282,635.1671,0.1714589
283,283,283,2202.8413,0.3939818
284,284,284,1205.8815,0.25246873
285,285,285,618.00366,0.16902263
286,286,286,878.895,0.20605476
287,287,287,541.9248,0.15822366
288,288,288,-168.08136,0.057442095
289,289,289,486.87646,0.15040983
290,290,290,544.4384,0.15858045
291,291,291,756.38916,0.18866572
292,292,292,2080.5608,0.37662476
293,293,293,2116.7878,0.381767
294,294,294,-296.78906,0.03917273
295,295,295,1157.7266,0.2456334
296,296,296,849.9206,0.20194201
297,297,297,485.33557,0.15019111
298,298,298,982.6999,0.22078931
299,299,299,48.66613,0.088208236
300,300,300,2466.0115,0.43133742
301,301,301,535.06506,0.15724994
302,302,302,1063.0046,0.23218814
303,303,303,1017.90155,0.225786
304,304,304,176.67877,0.10637894
305,305,305,1608.9579,0.30968323
306,306,306,532.9086,0.15694386
307,307,307,952.0595,0.21644008
308,308,308,2082.24,0.37686312
309,309,309,1992.3682,0.3641063
310,310,310,3404.7068,0.56458014
311,311,311,2000.8081,0.3653043
312,312,312,87.69755,0.09374854
313,313,313,429.22986,0.14222722
314,314,314,595.2136,0.16578771
315,315,315,853.94385,0.20251308
316,316,316,603.887,0.16701885
317,317,317,1054.293,0.23095156
318,318,318,438.00327,0.14347255
319,319,319,860.1296,0.20339112
320,320,320,1456.625,0.28806043
321,321,321,1107.7823,0.23854409
322,322,322,2999.7974,0.50710547
323,323,323,740.2013,0.18636793
324,324,324,688.34406,0.17900707
325,325,325,1257.8818,0.2598499
326,326,326,656.8118,0.17453124
327,327,327,523.4818,0.15560576
328,328,328,644.7421,0.17281803
329,329,329,1135.912,0.24253693
330,330,330,817.08777,0.19728155
331,331,331,-232.03302,0.0483645
332,332,332,1843.6548,0.34299722
333,333,333,504.0009,0.15284055
334,334,334,1026.327,0.22698194
335,335,335,2061.868,0.3739714
336,336,336,1907.4857,0.35205767
337,337,337,393.0453,0.13709101
338,338,338,1391.9431,0.2788792
339,339,339,1961.0828,0.35966548
340,340,340,517.3812,0.15473983
341,341,341,1058.0851,0.23148982
342,342,342,776.1968,0.1914773
343,343,343,373.78464,0.13435706
344,344,344,306.71408,0.12483676
345,345,345,1887.6694,0.34924486
346,346,346,942.09326,0.21502541
347,347,347,539.8969,0.15793581
348,348,348,276.78473,0.120588444
349,349,349,2100.3435,0.3794328
350,350,350,2707.5076,0.4656165
351,351,351,130.73016,0.09985679
352,352,352,780.89343,0.19214396
353,353,353,448.08795,0.14490402
354,354,354,1913.6975,0.3529394
355,355,355,2570.3464,0.4461472
356,356,356,721.8332,0.18376069
357,357,357,984.9929,0.22111478
358,358,358,1701.6575,0.32284147
359,359,359,436.89688,0.1433155
360,360,360,484.3415,0.15005001
361,361,361,186.82574,0.10781925
362,362,362,419.39075,0.1408306
363,363,363,376.27606,0.1347107
364,364,364,959.77844,0.21753573
365,365,365,1802.7157,0.33718613
366,366,366,404.30072,0.13868865
367,367,367,505.5163,0.15305567
368,368,368,1169.8756,0.24735789
369,369,369,2059.0364,0.3735695
370,370,370,309.63983,0.12525205
371,371,371,2240.8914,0.39938283
372,372,372,343.40826,0.1300453
373,373,373,629.6583,0.17067696
374,374,374,672.69244,0.17678541
375,375,375,116.701584,0.09786551
376,376,376,508.4937,0.15347828
377,377,377,724.28546,0.18410876
378,378,378,1348.3097,0.27268565
379,379,379,1250.1982,0.25875926
380,380,380,803.85095,0.19540267
381,381,381,1916.6692,0.35336122
382,382,382,1842.4257,0.34282273
383,383,383,1591.8578,0.30725598
384,384,384,1072.021,0.23346795
385,385,385,996.5465,0.22275476
386,386,386,2683.1357,0.46215704
387,387,387,2154.1133,0.38706514
388,388,388,563.6386,0.16130581
389,389,389,624.93646,0.17000672
390,390,390,738.2334,0.1860886
391,391,391,350.22467,0.13101286
