,h_id,t_id,entity_sim_score,norm_entity_sim_score
180,180,180,4260.94,0.5016488
181,181,181,2690.226,0.21602145
182,182,182,3634.15,0.3876698
183,183,183,4002.7483,0.45469782
184,184,184,4294.414,0.5077359
185,185,185,4474.0825,0.5404078
186,186,186,3163.6882,0.30211845
187,187,187,4258.5474,0.50121367
188,188,188,4238.629,0.4975916
189,189,189,4090.935,0.47073415
190,190,190,3654.1167,0.39130065
191,191,191,4669.834,0.5760043
192,192,192,4149.048,0.4813017
193,193,193,3795.5986,0.41702852
194,194,194,3798.8286,0.4176159
195,195,195,4209.769,0.49234357
196,196,196,3684.3967,0.396807
197,197,197,4309.821,0.51053756
198,198,198,4047.0315,0.46275052
199,199,199,5222.4414,0.6764935
200,200,200,4377.7676,0.52289337
201,201,201,3703.1384,0.4002151
202,202,202,3017.7974,0.27558884
203,203,203,4034.5818,0.4604866
204,204,204,4257.23,0.5009741
205,205,205,3409.9639,0.34690258
206,206,206,4010.269,0.4560654
207,207,207,4539.6406,0.55232924
208,208,208,3538.8618,0.3703421
209,209,209,4070.0415,0.46693474
210,210,210,3574.0073,0.37673312
211,211,211,3720.5999,0.40339038
212,212,212,3373.0266,0.3401857
213,213,213,3913.7808,0.43851942
214,214,214,3879.5747,0.4322992
215,215,215,3391.9114,0.34361982
216,216,216,4576.886,0.5591022
217,217,217,5131.635,0.6599808
218,218,218,3625.3823,0.38607544
219,219,219,3730.9497,0.4052724
220,220,220,4124.8257,0.476897
221,221,221,4252.975,0.5002004
222,222,222,4266.31,0.5026253
223,223,223,4516.864,0.5481874
224,224,224,4084.6365,0.46958882
225,225,225,4881.7275,0.6145362
226,226,226,3539.3892,0.37043798
227,227,227,4090.5845,0.4706704
228,228,228,3997.2961,0.45370635
229,229,229,4054.1548,0.46404582
230,230,230,4263.784,0.502166
231,231,231,4464.1045,0.53859335
232,232,232,3541.6318,0.37084582
233,233,233,4052.8613,0.4638106
234,234,234,3975.815,0.44980004
235,235,235,3629.168,0.38676384
236,236,236,3404.363,0.34588408
237,237,237,4464.0596,0.5385852
238,238,238,5303.009,0.69114435
239,239,239,4636.673,0.5699741
240,240,240,3450.8672,0.35434067
241,241,241,4326.6064,0.5135899
242,242,242,3769.7734,0.41233233
